Time(s)	SetTemp(K)	Temp(K)	HeatPower	P	I	D	
285.299616098404	400	307.407	0	130	50	0	-1670590157.25391
290.392131090164	400	306.597	0	130	50	0	-1670590152.1614
295.493221998215	400	305.329	0	130	50	0	-1670590147.06031
300.582705020905	400	304.892	0	130	50	0	-1670590141.97083
305.653332948685	400	303.678	0	130	50	0	-1670590136.9002
310.750365018845	400	302.983	0	130	50	0	-1670590131.80317
315.85124707222	400	301.904	0	130	50	0	-1670590126.70228
320.953836917877	400	300.833	0	130	50	0	-1670590121.59969
326.02942609787	400	300.419	0	130	50	0	-1670590116.5241
331.112139940262	400	298.934	0	130	50	0	-1670590111.44139
336.182820081711	400	298.584	0	130	50	0	-1670590106.37071
341.270864963531	400	297.45	0	130	50	0	-1670590101.28267
346.3521900177	400	296.44	0	130	50	0	-1670590096.20134
351.422501087189	400	295.764	0	130	50	0	-1670590091.13103
356.493366956711	400	294.728	0	130	50	0	-1670590086.06016
361.585813999176	400	293.815	0	130	50	0	-1670590080.96772
366.677611112595	400	293.158	0	130	50	0	-1670590075.87592
371.756822109222	400	292.283	0	130	50	0	-1670590070.79671
376.837194919586	400	291.438	0	130	50	0	-1670590065.71634
381.909322977066	400	290.447	0	130	50	0	-1670590060.64421
386.979413986206	400	289.9	0	130	50	0	-1670590055.57412
392.061165094376	400	288.5	0	130	50	0	-1670590050.49236
397.131264925003	400	288.323	0	130	50	0	-1670590045.42227
402.202945947647	400	287.011	0	130	50	0	-1670590040.35058
407.276391029358	400	286.396	0	130	50	0	-1670590035.27714
412.365700006485	400	285.725	0	130	50	0	-1670590030.18783
417.435554027557	400	284.564	0	130	50	0	-1670590025.11798
422.526969909668	400	284.131	0	130	50	0	-1670590020.02656
427.607434034348	400	283.05	0	130	50	0	-1670590014.9461
432.67862701416	400	282.507	0	130	50	0	-1670590009.8749
437.764895915985	400	281.159	0	130	50	0	-1670590004.78863
442.861230134964	400	280.764	0	130	50	0	-1670589999.6923
447.943171977997	400	279.568	0	130	50	0	-1670589994.61036
453.042875051498	400	279.162	0	130	50	0	-1670589989.51065
458.113867044449	400	277.911	0	130	50	0	-1670589984.43966
463.195480108261	400	277.614	0	130	50	0	-1670589979.35805
468.266070127487	400	276.212	0	130	50	0	-1670589974.28746
473.336920976639	400	276.017	0	130	50	0	-1670589969.21661
478.420555114746	400	274.719	0	130	50	0	-1670589964.13297
483.518176078796	400	274.218	0	130	50	0	-1670589959.03535
488.599456071854	400	273.341	0	130	50	0	-1670589953.95407
493.683881044388	400	272.429	0	130	50	0	-1670589948.86965
498.743287086487	400	271.782	0	130	50	0	-1670589943.81024
503.81297492981	400	270.529	0	130	50	0	-1670589938.74056
508.884061098099	400	270.415	0	130	50	0	-1670589933.66947
513.964788913727	400	268.932	0	130	50	0	-1670589928.58874
519.045807123184	400	268.819	0	130	50	0	-1670589923.50772
524.137998104095	400	267.562	0	130	50	0	-1670589918.41553
