,Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
340,1670520256.991479,80.0,128.209,10.0,130.0,50.0,0.0
341,1670520262.052799,80.0,128.207,10.0,130.0,50.0,0.0
342,1670520267.13271,80.0,128.075,10.0,130.0,50.0,0.0
343,1670520272.224344,80.0,128.131,10.0,130.0,50.0,0.0
344,1670520277.304518,80.0,128.171,10.0,130.0,50.0,0.0
345,1670520282.3665721,80.0,128.216,10.0,130.0,50.0,0.0
346,1670520287.437351,80.0,128.255,10.0,130.0,50.0,0.0
347,1670520292.508835,80.0,128.179,10.0,130.0,50.0,0.0
348,1670520297.599692,80.0,128.214,10.0,130.0,50.0,0.0
349,1670520302.670019,80.0,128.248,10.0,130.0,50.0,0.0
350,1670520307.741644,80.0,128.299,10.0,130.0,50.0,0.0
351,1670520312.8226259,80.0,128.32399999999998,10.0,130.0,50.0,0.0
352,1670520317.9038188,80.0,128.333,10.0,130.0,50.0,0.0
353,1670520322.994339,80.0,128.292,10.0,130.0,50.0,0.0
354,1670520328.065813,80.0,128.326,10.0,130.0,50.0,0.0
355,1670520333.166098,80.0,128.381,10.0,130.0,50.0,0.0
356,1670520338.257415,80.0,128.409,10.0,130.0,50.0,0.0
357,1670520343.343327,80.0,128.43,10.0,130.0,50.0,0.0
358,1670520348.4397259,80.0,128.452,10.0,130.0,50.0,0.0
359,1670520353.510831,80.0,128.468,10.0,130.0,50.0,0.0
360,1670520358.605817,80.0,128.49200000000002,10.0,130.0,50.0,0.0
361,1670520363.702091,80.0,128.533,10.0,130.0,50.0,0.0
362,1670520368.773791,80.0,128.555,10.0,130.0,50.0,0.0
363,1670520373.8495882,80.0,128.569,10.0,130.0,50.0,0.0
364,1670520378.927716,80.0,128.601,10.0,130.0,50.0,0.0
365,1670520384.007455,80.0,128.607,10.0,130.0,50.0,0.0
366,1670520389.0775099,80.0,128.64,10.0,130.0,50.0,0.0
367,1670520394.140061,80.0,128.602,10.0,130.0,50.0,0.0
368,1670520399.210881,80.0,128.644,10.0,130.0,50.0,0.0
369,1670520404.28133,80.0,128.66299999999998,10.0,130.0,50.0,0.0
370,1670520409.3624,80.0,128.626,10.0,130.0,50.0,0.0
371,1670520414.4431632,80.0,128.67700000000002,10.0,130.0,50.0,0.0
372,1670520419.514101,80.0,128.704,10.0,130.0,50.0,0.0
373,1670520424.584861,80.0,128.717,10.0,130.0,50.0,0.0
374,1670520429.675952,80.0,128.684,10.0,130.0,50.0,0.0
375,1670520434.747429,80.0,128.74,10.0,130.0,50.0,0.0
376,1670520439.817486,80.0,128.764,10.0,130.0,50.0,0.0
377,1670520444.8926132,80.0,128.748,10.0,130.0,50.0,0.0
378,1670520450.0099401,80.0,128.79399999999998,10.0,130.0,50.0,0.0
379,1670520455.088447,80.0,128.816,10.0,130.0,50.0,0.0
380,1670520460.171658,80.0,128.77,10.0,130.0,50.0,0.0
381,1670520465.2532961,80.0,128.81,10.0,130.0,50.0,0.0
382,1670520470.343669,80.0,128.856,10.0,130.0,50.0,0.0
383,1670520475.4255118,80.0,128.844,10.0,130.0,50.0,0.0
384,1670520480.487849,80.0,128.885,10.0,130.0,50.0,0.0
385,1670520485.581408,80.0,128.916,10.0,130.0,50.0,0.0
386,1670520490.6718528,80.0,128.957,10.0,130.0,50.0,0.0
387,1670520495.749726,80.0,128.929,10.0,130.0,50.0,0.0
388,1670520500.820787,80.0,128.969,10.0,130.0,50.0,0.0
389,1670520505.892051,80.0,129.005,10.0,130.0,50.0,0.0
390,1670520510.962502,80.0,129.03799999999998,10.0,130.0,50.0,0.0
391,1670520516.0330698,80.0,129.045,10.0,130.0,50.0,0.0
392,1670520521.1146538,80.0,129.085,10.0,130.0,50.0,0.0
393,1670520526.18576,80.0,128.998,10.0,130.0,50.0,0.0
394,1670520531.2670438,80.0,129.004,10.0,130.0,50.0,0.0
