,Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
137,285.842744,100.0,99.8553,5.7,67.3,48.5,100.0
138,287.913497,100.0,99.7468,7.0,67.3,48.5,100.0
139,289.994821,100.0,99.6507,8.6,67.3,48.5,100.0
141,294.145119,100.0,99.4238,12.0,67.3,48.5,100.0
142,296.2256,100.0,99.3165,13.6,67.3,48.5,100.0
143,298.336333,100.0,99.2611,14.6,67.3,48.5,100.0
144,300.445935,100.0,99.2023,16.3,67.3,48.5,100.0
145,302.52680699999996,100.0,99.1806,16.7,67.3,48.5,100.0
146,304.61724100000004,100.0,99.1829,17.4,67.3,48.5,100.0
147,306.73779,100.0,99.1617,18.2,67.3,48.5,100.0
148,308.818352,100.0,99.1603,19.0,67.3,48.5,100.0
149,310.908545,100.0,99.1784,19.0,67.3,48.5,100.0
150,312.978944,100.0,99.2268,19.0,67.3,48.5,100.0
151,315.069079,100.0,99.2773,18.7,67.3,48.5,100.0
152,317.139419,100.0,99.2637,20.2,67.3,48.5,100.0
153,319.219909,100.0,99.3044,19.8,67.3,48.5,100.0
154,321.336837,100.0,99.4257,18.7,67.3,48.5,100.0
155,323.451014,100.0,99.3562,20.7,67.3,48.5,100.0
156,325.530862,100.0,99.4104,20.3,67.3,48.5,100.0
157,327.60175899999996,100.0,99.5105,19.6,67.3,48.5,100.0
158,329.682095,100.0,99.4264,22.0,67.3,48.5,100.0
159,331.75253399999997,100.0,99.5051,20.7,67.3,48.5,100.0
160,333.832017,100.0,99.6236,19.3,67.3,48.5,100.0
161,335.913091,100.0,99.624,20.2,67.3,48.5,100.0
162,337.98370800000004,100.0,99.6832,20.7,67.3,48.5,100.0
163,340.05375899999996,100.0,99.6753,20.4,67.3,48.5,100.0
164,342.133803,100.0,99.7095,20.5,67.3,48.5,100.0
165,344.21801899999997,100.0,99.6746,21.9,67.3,48.5,100.0
166,346.31552999999997,100.0,99.7351,20.8,67.3,48.5,100.0
167,348.445846,100.0,99.7998,20.4,67.3,48.5,100.0
168,350.516063,100.0,99.7964,20.8,67.3,48.5,100.0
169,352.586412,100.0,99.7966,21.6,67.3,48.5,100.0
170,354.675817,100.0,99.8129,21.4,67.3,48.5,100.0
171,356.787323,100.0,99.8003,21.9,67.3,48.5,100.0
172,358.857426,100.0,99.7896,22.1,67.3,48.5,100.0
173,360.938102,100.0,99.8729,21.3,67.3,48.5,100.0
174,362.998676,100.0,99.8846,21.0,67.3,48.5,100.0
175,365.078012,100.0,99.9195,20.7,67.3,48.5,100.0
176,367.14917,100.0,99.9046,22.0,67.3,48.5,100.0
177,369.21915,100.0,99.8753,21.8,67.3,48.5,100.0
178,371.331556,100.0,99.9029,21.5,67.3,48.5,100.0
179,373.450182,100.0,99.921,22.0,67.3,48.5,100.0
180,375.530596,100.0,99.9168,21.9,67.3,48.5,100.0
181,377.61156,100.0,99.9174,21.7,67.3,48.5,100.0
182,379.691779,100.0,99.9615,21.1,67.3,48.5,100.0
183,381.7719,100.0,100.016,20.5,67.3,48.5,100.0
184,383.83301600000004,100.0,99.9828,21.6,67.3,48.5,100.0
185,385.90299,100.0,99.9439,22.5,67.3,48.5,100.0
186,387.973312,100.0,99.9128,22.5,67.3,48.5,100.0
187,390.03340499999996,100.0,99.915,22.7,67.3,48.5,100.0
188,392.11411400000003,100.0,99.8726,23.9,67.3,48.5,100.0
189,394.184499,100.0,99.8913,23.4,67.3,48.5,100.0
190,396.244749,100.0,99.9047,22.9,67.3,48.5,100.0
191,398.38464300000004,100.0,99.9122,23.0,67.3,48.5,100.0
192,400.47561,100.0,99.9275,22.6,67.3,48.5,100.0
193,402.546246,100.0,99.9211,22.9,67.3,48.5,100.0
194,404.64957400000003,100.0,99.9331,22.9,67.3,48.5,100.0
195,406.777151,100.0,99.9514,22.5,67.3,48.5,100.0
196,408.847458,100.0,99.9534,22.7,67.3,48.5,100.0
197,410.927749,100.0,99.9136,23.4,67.3,48.5,100.0
198,413.008087,100.0,99.9458,23.0,67.3,48.5,100.0
199,415.088608,100.0,99.9712,22.6,67.3,48.5,100.0
200,417.15838199999996,100.0,99.9738,22.4,67.3,48.5,100.0
201,419.23925299999996,100.0,99.9439,23.6,67.3,48.5,100.0
202,421.38878700000004,100.0,99.9484,23.6,67.3,48.5,100.0
203,423.479932,100.0,99.9115,23.4,67.3,48.5,100.0
204,425.550484,100.0,99.9481,23.9,67.3,48.5,100.0
205,427.63045999999997,100.0,99.9333,23.3,67.3,48.5,100.0
206,429.72156500000006,100.0,99.9493,23.7,67.3,48.5,100.0
207,431.79146799999995,100.0,99.9171,24.6,67.3,48.5,100.0
208,433.86202699999996,100.0,99.9437,23.1,67.3,48.5,100.0
209,435.932361,100.0,99.9764,23.3,67.3,48.5,100.0
210,438.01202,100.0,99.9607,23.9,67.3,48.5,100.0
211,440.09290899999996,100.0,99.917,24.8,67.3,48.5,100.0
212,442.16301799999997,100.0,99.9168,23.8,67.3,48.5,100.0
213,444.244029,100.0,99.9488,25.0,67.3,48.5,100.0
214,446.384567,100.0,99.962,23.7,67.3,48.5,100.0
215,448.45508600000005,105.0,99.9872,100.0,67.3,48.5,100.0
216,450.535255,105.0,100.178,100.0,67.3,48.5,100.0
217,452.61570300000005,105.0,101.932,62.7,67.3,48.5,100.0
218,454.71598099999994,105.0,104.551,20.3,67.3,48.5,100.0
219,456.82679800000005,105.0,106.264,1.1,67.3,48.5,100.0
220,458.91687199999996,105.0,106.913,0.0,67.3,48.5,100.0
221,460.98689299999995,105.0,106.941,0.0,67.3,48.5,100.0
222,463.05772699999994,105.0,106.68700000000001,2.9,67.3,48.5,100.0
223,465.14793,105.0,106.289,9.9,67.3,48.5,100.0
224,467.22778600000004,105.0,105.88600000000001,16.5,67.3,48.5,100.0
225,469.34821100000005,105.0,105.45,22.3,67.3,48.5,100.0
226,471.48917300000005,105.0,105.156,26.0,67.3,48.5,100.0
227,473.55960999999996,105.0,104.925,29.0,67.3,48.5,100.0
228,475.64014800000007,105.0,104.807,30.0,67.3,48.5,100.0
229,477.719613,105.0,104.74799999999999,30.2,67.3,48.5,100.0
230,479.790733,105.0,104.708,31.0,67.3,48.5,100.0
231,481.85150300000004,105.0,104.74,29.8,67.3,48.5,100.0
232,483.93173099999996,105.0,104.78,29.1,67.3,48.5,100.0
233,486.011658,105.0,104.82799999999999,28.7,67.3,48.5,100.0
234,488.081622,105.0,104.811,28.8,67.3,48.5,100.0
235,490.152729,105.0,104.819,29.1,67.3,48.5,100.0
236,492.233542,105.0,104.787,29.7,67.3,48.5,100.0
237,494.364208,105.0,104.792,29.4,67.3,48.5,100.0
238,496.49434299999996,105.0,104.836,29.0,67.3,48.5,100.0
239,498.56479299999995,105.0,104.82,29.4,67.3,48.5,100.0
240,500.644504,105.0,104.82799999999999,29.7,67.3,48.5,100.0
241,502.71557300000006,105.0,104.824,29.7,67.3,48.5,100.0
242,504.81581600000004,105.0,104.819,30.1,67.3,48.5,100.0
243,506.93637,105.0,104.866,29.0,67.3,48.5,100.0
244,509.01633200000003,105.0,104.874,29.4,67.3,48.5,100.0
245,511.086034,105.0,104.883,29.3,67.3,48.5,100.0
246,513.156941,105.0,104.853,30.3,67.3,48.5,100.0
247,515.237662,105.0,104.854,30.2,67.3,48.5,100.0
248,517.370105,105.0,104.85799999999999,30.2,67.3,48.5,100.0
249,519.468677,105.0,104.852,30.5,67.3,48.5,100.0
250,521.549239,105.0,104.88600000000001,30.2,67.3,48.5,100.0
